,1,2,3,4,Class
24,4.8,3.4,1.9,0.2,Iris-setosa
6,4.6,3.4,1.4,0.3,Iris-setosa
134,6.1,2.6,5.6,1.4,Iris-virginica
110,6.5,3.2,5.1,2.0,Iris-virginica
55,5.7,2.8,4.5,1.3,Iris-versicolor
59,5.2,2.7,3.9,1.4,Iris-versicolor
7,5.0,3.4,1.5,0.2,Iris-setosa
106,4.9,2.5,4.5,1.7,Iris-virginica
140,6.7,3.1,5.6,2.4,Iris-virginica
117,7.7,3.8,6.7,2.2,Iris-virginica
98,5.1,2.5,3.0,1.1,Iris-versicolor
99,5.7,2.8,4.1,1.3,Iris-versicolor
69,5.6,2.5,3.9,1.1,Iris-versicolor
18,5.7,3.8,1.7,0.3,Iris-setosa
111,6.4,2.7,5.3,1.9,Iris-virginica
108,6.7,2.5,5.8,1.8,Iris-virginica
4,5.0,3.6,1.4,0.2,Iris-setosa
83,6.0,2.7,5.1,1.6,Iris-versicolor
116,6.5,3.0,5.5,1.8,Iris-virginica
123,6.3,2.7,4.9,1.8,Iris-virginica
25,5.0,3.0,1.6,0.2,Iris-setosa
16,5.4,3.9,1.3,0.4,Iris-setosa
126,6.2,2.8,4.8,1.8,Iris-virginica
124,6.7,3.3,5.7,2.1,Iris-virginica
44,5.1,3.8,1.9,0.4,Iris-setosa
92,5.8,2.6,4.0,1.2,Iris-versicolor
70,5.9,3.2,4.8,1.8,Iris-versicolor
82,5.8,2.7,3.9,1.2,Iris-versicolor
79,5.7,2.6,3.5,1.0,Iris-versicolor
29,4.7,3.2,1.6,0.2,Iris-setosa
64,5.6,2.9,3.6,1.3,Iris-versicolor
125,7.2,3.2,6.0,1.8,Iris-virginica
107,7.3,2.9,6.3,1.8,Iris-virginica
13,4.3,3.0,1.1,0.1,Iris-setosa
28,5.2,3.4,1.4,0.2,Iris-setosa
75,6.6,3.0,4.4,1.4,Iris-versicolor
87,6.3,2.3,4.4,1.3,Iris-versicolor
15,5.7,4.4,1.5,0.4,Iris-setosa
32,5.2,4.1,1.5,0.1,Iris-setosa
109,7.2,3.6,6.1,2.5,Iris-virginica
118,7.7,2.6,6.9,2.3,Iris-virginica
128,6.4,2.8,5.6,2.1,Iris-virginica
53,5.5,2.3,4.0,1.3,Iris-versicolor
0,5.1,3.5,1.4,0.2,Iris-setosa
57,4.9,2.4,3.3,1.0,Iris-versicolor
54,6.5,2.8,4.6,1.5,Iris-versicolor
14,5.8,4.0,1.2,0.2,Iris-setosa
113,5.7,2.5,5.0,2.0,Iris-virginica
67,5.8,2.7,4.1,1.0,Iris-versicolor
